ranking,club name
1941,Tema Youth
660,Temperley
2219,Tempête
2255,Tenax CS FC
389,Tenerife
1556,Teplice
1875,Termalica Nieciecza
2029,Teungueth FC
2406,Thai Honda
2666,That Ras Club
78,The New Saints
220,The Strongest
862,Thun
2173,Tianjin Jinmen Tiger F.C.
1193,Tianjin Tianhai
2211,Tiare Tahiti
2279,Tiburones Rojos de Veracruz
385,Tigre
1088,Tigres FC
116,Tigres UANL
1005,Tiko United
288,Timişoara
434,Tiraspol
1836,Tivoli Gardens
2755,Tobago United
401,Tobol Kostanay
2182,Togo-Port
2214,Tokushima Vortis
105,Tolima
497,Toluca FC
2065,Tom' Tomsk
1065,Tondela
2412,Tonnerre Kalara Club
711,Topolski Sportski Club
98,Torino
2740,Tornados de Humacao
1379,Toronto FC
1600,Torpedo Kutaisi
735,Torpedo Zhodino
2613,TOT
1366,Total Chalaco
14,Tottenham Hotspur
1389,Toulouse
2125,Township Rollers
139,TP Mazembe
120,Trabzonspor
665,Tractor Sazi
2428,Trat FC
2063,TRAU F.C.
2563,Travnik
2383,Trelleborgs FF
902,Trenčín
1244,Triangle FC
2385,Tripoli AC
2407,Tripple B
1302,Tromsø IL
405,Troyes
2595,Trujillanos FC
1639,TS Galaxy
2517,Tshinkunku
2076,Tsholotsho
1055,TSV Hartberg
2363,TTM Chiangmai
2429,Tucanes FC
963,Tukoko University
2548,Tulevik Viljandi
2680,Tupapa Maraerenga
2597,Turan Tovuz
1671,Turku PS
1429,Turnu Severin
337,U.S. Salernitana 1919
2209,Ubon UMT FC
82,Udinese
2625,UES
796,Újpest
89,Ulsan Hyundai
1610,Umm-Salal
705,UMS de Loum
2303,UNAN Managua
2203,Underhill
978,Uniao da Madeira
1604,União de Leiria
2150,Uniao Sport Clube do Uige
1183,Uniautónoma FC
1054,Unión Comercio
2390,Union Deportivo Universitario
1330,Union Douala
432,Unión Española
589,Unión La Calera
1097,Unión San Felipe
223,Unión Santa Fe
747,Union Sportive de Douala
221,Union St.Gilloise
1971,Unirea Alba Iulia
1299,Unirea Urziceni
852,Unisport FC Du Haut-Nkam
2607,United City F.C.
1582,United Petrotrin
2442,United Sikkim F.C
1384,United Sports Club
194,Universidad Católica
347,Universidad Católica
2106,Universidad Central de Venezuela FC
419,Universidad César Vallejo
771,Universidad Concepción
713,Universidad de Chile
1266,Universidad de San Carlos
1647,Universidad San Martín de Porres
1769,Universitario
2564,Universitario de Cobija
408,Universitario de Deportes
1387,Universitario de Vinto
1275,Universitatea Cluj
1746,Universitatea Craiova
1263,Université Ngaoundéré
2748,University College Dublin
1768,Urana
365,Urawa Red Diamonds
2470,Urena SC
1040,US Biskra
1934,US Bitam
653,US Monastir
2114,US Panda B5
1173,US Tataouine
1551,Usc Bassam
1657,USFAS Bamako
2066,USGN
414,USM Alger
1651,USM Bel Abbès
1841,USM Blida
1215,USM El Harrach
1937,Ústí nad Labem
2086,UWI FC
1605,V-Varen Nagasaki
110,Valencia
2353,Valencia de Leogane
734,Valenciennes
651,Vålerenga
1226,Valmiera FK
1178,Vancouver Whitecaps
1146,Varbergs BoIS
997,Vardar Skopje
1465,Vasas Budapest
310,Vasco da Gama
1601,Vegalta Sendai
1849,Vejle Boldklub
1264,Velež Mostar
123,Vélez Sarsfield
1833,Vendsyssel FF
529,Venezia FC
1391,Ventforet Kofu
1152,Ventspils
1907,Venus
2286,Veraguas FC
2165,Verdes FC
2636,Vere United FC
657,Veres Rivne
2737,Vereya
1653,Veria FC
1626,Vestsjælland
1919,Veti Club
175,VfB Stuttgart
1091,Viborg
1986,Victoria
2453,Victoria
1948,Victoria Branesti
2498,Vidima-Rakovski
2011,Viettel Football Club
596,Viitorul Constanţa
395,Viking FK
62,Viktoria Plzeň
1572,Viktoria Žižkov
2324,Villa Espanola
1345,Villa Teresa
16,Villarreal
1616,Virunga
534,Vissel Kobe
1388,Vista Hermosa
230,Vita Club
296,Vitesse
2670,Vitez
469,Vitória
306,Vitória Guimarães
818,Vitória Setúbal
2716,Vitosha Bistritsa
1760,Voinţa Sibiu
615,Vojvodina
1834,Volga Nyzhnyi
861,Volos New Football Club
1693,Volyn
421,Vorskla Poltava
2233,Vostok
772,Voždovac
1310,VPS
2476,Vutuka
1654,VVV-Venlo
1047,Vysočina Jihlava
1032,W Connection FC
2659,WA Tlemcen
1747,Waasland-Beveren
2151,Wad Hashim SC Sennar
1420,Wadi Degla FC
2371,WaiBOP United
859,Waitakere United
2537,Wanderers SC
2768,Warrenpoint Town
1060,Warri Wolves FC
2163,Warrior
2262,Wassaman United
991,Waterford FC
1457,Waterford United FC
900,Waterhouse FC
592,Watford
1453,Wellington Phoenix
2536,Wellington Phoenix Reserves
2532,Welshpool Town
303,Werder Bremen
348,West Brom
55,West Ham United
1577,Westerlo
1349,Western Sydney
1570,Western United FC
2284,Wexford Youths
2514,WhaWha
1437,Widzew Łódz
1887,Wiener Neustadt
259,Wigan Athletic
1028,Wikki Tourist
1819,Wiliete SC
802,Willem II
1660,Williamsville Athletic Club
1382,Wisła Kraków
1107,Wisła Płock
2715,WIT Georgia Tbilisi
515,Wolfsberger AC
96,Wolfsburg
119,Wolverhampton Wanderers
1090,WSG Tirol
1923,Wuachon United
1194,Wuhan Three Towns F.C.
1368,Wuhan Yangtze River
1300,WWS Rangers
81,Wydad Casablanca
1800,Wydad Fès
905,Xanthi FC
1207,Xelajú
2288,Xinabajul
2485,Xorazm
2169,Yadah FC
2527,Yafoot FC Yaounde 2
2017,Yanbian
2529,Yaracuyanos FC
2099,Yeni Malatyaspor
1251,Yenisey Krasnoyarsk
2003,Yobe Desert Stars
166,Yokohama F. Marinos
1968,Yokohama FC
2349,Yopougon FC
2079,Young Africans
95,Young Boys
2136,Young Green Eagles
2729,Young Heart Manawatu
911,Young Sport Academy Bamenda
1524,Youssoufia Berrechid
1906,Zacapa
1037,Zagłębie Lubin
2072,Zagłębie Sosnowiec
1245,Zalaegerszegi TE
257,Zalgiris Vilnius
1915,Zamfara United FC
893,Zamora FC
871,Zanaco
2655,Zaprešić
1029,Zaria Bălți
1392,Zarzis
1123,Zavrč
1419,Zawisza Bydgoszcz
666,Željezničar
1680,Zemplin Michalovce
57,Zenit St. Petersburg
605,ZESCO United
2148,Zestafoni
1439,Zeta
1592,Zhejiang Professional
1141,Zhetysu Taldykorgan
640,Žilina
2078,Zimbabwe Saints
1258,Zimbru
1099,Zirə
1856,Zlate Moravce
1133,Znojmo
1022,Zob Ahan Isfahan FC
147,Zorya Luhansk
1585,ZPC Kariba
298,Zrinjski Mostar
1312,Zulia
1241,Zulte Waregem
2386,Zumunta
313,Zürich
